utc_timestamp,temperature,radiation_direct_horizontal,radiation_diffuse_horizontal
2016-01-01T00:00:00Z,5.5710,0.0000,0.0000
2016-01-01T01:00:00Z,5.4150,0.0000,0.0000
2016-01-01T02:00:00Z,5.2880,0.0000,0.0000
2016-01-01T03:00:00Z,5.1770,0.0000,0.0000
2016-01-01T04:00:00Z,5.1310,0.0000,0.0000
2016-01-01T05:00:00Z,5.0560,0.0000,0.0000
2016-01-01T06:00:00Z,4.8960,0.0000,0.0004
2016-01-01T07:00:00Z,4.7640,0.2049,4.1940
2016-01-01T08:00:00Z,5.2180,1.8325,35.2478
2016-01-01T09:00:00Z,5.9150,5.5220,79.1878
2016-01-01T10:00:00Z,6.7680,12.6286,121.4754
2016-01-01T11:00:00Z,7.6160,20.8924,147.3120
2016-01-01T12:00:00Z,8.2570,22.2480,146.3079
2016-01-01T13:00:00Z,8.5790,15.7515,120.6736
2016-01-01T14:00:00Z,8.3690,6.5191,74.1392
2016-01-01T15:00:00Z,7.5400,1.1463,22.3135
2016-01-01T16:00:00Z,6.8340,0.0181,0.4958
2016-01-01T17:00:00Z,6.6150,0.0000,0.0000
2016-01-01T18:00:00Z,6.5250,0.0000,0.0000
2016-01-01T19:00:00Z,6.5100,0.0000,0.0000
2016-01-01T20:00:00Z,6.5570,0.0000,0.0000
2016-01-01T21:00:00Z,6.6430,0.0000,0.0000
2016-01-01T22:00:00Z,6.6890,0.0000,0.0000
2016-01-01T23:00:00Z,6.7270,0.0000,0.0000
2016-01-02T00:00:00Z,6.7750,0.0000,0.0000
2016-01-02T01:00:00Z,6.8260,0.0000,0.0000
2016-01-02T02:00:00Z,6.8880,0.0000,0.0000
2016-01-02T03:00:00Z,6.9410,0.0000,0.0000
2016-01-02T04:00:00Z,7.0370,0.0000,0.0000
2016-01-02T05:00:00Z,7.0550,0.0000,0.0000
2016-01-02T06:00:00Z,7.0230,0.0000,0.0003
2016-01-02T07:00:00Z,6.8700,0.0529,2.4141
2016-01-02T08:00:00Z,7.0860,1.6898,35.0313
2016-01-02T09:00:00Z,7.6530,7.9950,87.5834
